Sergio Fajardo hizo el oso en Bogota|Sergio Fajardo hacer_el_oso Bogota|-1
J. Andrés Ortiz en Twitter: ;Hoy me voy a dormir, no me pregunten como ni por qué,  con la sensación de que en las calles de Colombia se respira cierto aire de optimismo. Crece #LaFuerzaDeLaEsperanza hay confianza en @sergio_fajardo #SePuede;| hoy dorm  no pregunten   sensacion calles colombi respir aire optim  crece #lafuerzadelaesper confianz @sergio_fajard #sepuede    |1
Joaquin Gallardo en Twitter: ;Don Sergio el FA son hijos de papá pseudo revolucionarios y los del PC una pila de pusilánimes que se llenan la boca con los derechos humanos pero solo cuando les afecta a ellos. No le pida ?? al Olmo https://t.co/OFHWqb6MpE;| don sergi FA hij pap pseud revolucionari PC pil pusilanimes llen boc derech human afect  No pid ?? olmo   |-1
Compromiso Ciudadano en Twitter: ;;La propuesta política nuestra es que no podemos construir una sociedad a partir del miedo. Tiene que haber un cambio para darle espacio a la inteligencia y las oportunidades. No nos quedemos en el miedo, nosotros somos la #FuerzaDeLaEsperanza;@sergio_fajardo #ConEducaciónSePuede https://t.co/lD2fqAXlOq;|  propuest politic no constru socied part mied  tiene cambi espaci inteligente oportun  No quedem mied  #fuerzadelaesper @sergio_fajard #coneducacionsepuede    |1
Marlene :c Gutiérrez en Twitter: ;Ese es el conflicto del alma de Álvaro Uribe, el hacer su sueño realidad emulando las maneras dominantes y totalitaristas que lo lleven a perpetuarse en el poder ??Envidia a Chavez y sufre gran frustración ante la figura de éste por no haberlo logrado todavía. https://t.co/3AqahA5Ob6;| conflict alma alvar uribe  sueñ realid emul maner domin totalitar lleven perpetuarse ??envidi chavez sufre frustracion figur no haberl logr todav      |1
Tenemos otra oportunidad de cambiar el rumbo del pa?s. Hay que aprovecharla. Hoy es el ?ltimo d?a para inscribir su c?dula. Consulten muy bien d?nde pueden hacerlo en https://t.co/hO3B2Y7omY. #ElEquipo. pic.twitter.com/nKxZHGw3xO&mdash; Fajardo Presidente (@sergio_fajardo) March 27, 2018		| |1
Compromiso Ciudadano - Bogotá en Twitter: ;Con la Ciencia podremos entender el desarrollo desde la perspectiva territorial, de modo que se tenga en cuenta la diversidad propia de nuestro país y las respectivas agendas regionales. La ciencia, en suma, para nuestras vidas cotidianas: @sergio_fajardo ;#ConEducaciónSePuede https://t.co/pzq1FPflDd;| cienci podrem entend desarroll perspect territorial  tenga cuent divers propi respect agend regionales  cienci  sum  vidas cotidian  @sergio_fajard  #coneducacionsepuede   |1
Humberto de la Calle en Twitter: ;En un ejercicio de responsabilidad, con @sergio_fajardo vamos a buscar con calma la posibilidad de hacer una consulta, por el bien de Colombia. Tenemos nuestras coincidencias éticas y políticas. Antes, hay temas que debemos resolver. https://t.co/yvrzL351Gi;| ejercici responsabil  @sergio_fajard busc calm posibil consult  colombi  tenem coincidente etic  antes  tem debem resolv    |1
Quienes dejaron impoluto a Peirano fue la bancada del FA m?s Sergio Abreu, con respecto al horror de la ley antilavado debo revisar las actas, tengo la idea de que fue un?nime pero no estoy segura&mdash; TraficanteDeDerechos (@Agria2017) March 28, 2018		| |-1
Julio Sanchez Cristo en Twitter: ;Un buen candidato, Humberto de la Calle, quedó en el peor de los mundos... Con Fajardo, pero sin confirmar. Sujeto a visto bueno de la autoridad. Sin sus electores, que quedan molestos por no respetarse la consulta de los 40mil millones...;| Un buen candidat  humbert calle  qued peor mund    fajard  confirm  sujet buen autor  sin electores  molest no respetarse consult 40mil millones      |-1
Fajardo Presidente en Twitter: ;Hoy pasamos Al Tablero en @NoticiasCaracol. Sabemos que mantener la seguridad ciudadana es difícil y exigente. Por eso es necesaria la experiencia, haber gobernado. #FajardoPropone. #YLaSeguridadQué #ElEquipo https://t.co/zXDRnmWRXi;| hoy pas Al tabler @noticiascaracol  sabem manten segur ciudadan dificil exigente  necesari experiente  gobern  #fajardopropone  #ylaseguridadque #elequipo   |1
Compromiso Ciudadano en Twitter: ;#FajardoLogró para Antioquia el premio internacional de Dubai a las mejores prácticas para mejorar condiciones de vida- Décimo ciclo, 2015. https://t.co/FjUZCAlfie;| #fajardologr antioqui premi internacional dubai mejores practic mejor condiciones vida- decim cicl      |1
;La propuesta pol?tica nuestra es que no podemos construir una sociedad a partir del miedo. Tiene que haber un cambio para darle espacio a la inteligencia y las oportunidades. No nos quedemos en el miedo, nosotros somos la #FuerzaDeLaEsperanza;@sergio_fajardo #ConEducaci?nSePuede pic.twitter.com/xRu9cTzXEn&mdash; Compromiso Ciudadano (@compromisociu) March 21, 2018		| |1
Compromiso Antioquia en Twitter: ;;Hay que trabajar con las comunidades. Yo sé hacer eso y eso es fundamental para reducir todos estos elementos que atormentan a la ciudadanía;: @sergio_fajardo #FajardoPropone;|  hay comun  fundamental reduc element atorment ciudadan   @sergio_fajard #fajardopropone    |1
Toda Colombia va a saber c?mo vamos avanzando en nuestra educaci?n y va a ser nuestro orgullo nacional; pero tiene que pasar por la dignidad de los maestros y maestras, es una obligaci?n para hacer una transformaci?n. #ElEquipo #ConEducaci?nSePuede https://t.co/IyvLNOK3cK&mdash; Fajardo Presidente (@sergio_fajardo) March 26, 2018		| |1
Esteban Jaramillo en Twitter: ;¿Cómo no van a salir cosas buenas, cuando tenés semejante montón de cracks sentados en la misma mesa? #LaFuerzaDeLaEsperanza #SePuede https://t.co/LKWpQWo7so;| ¿como no sal buen  tenes semej monton cracks sent mesa? #lafuerzadelaesper #sepuede   |1
Fajardo Presidente en Twitter: ;Invitamos a todos los colombianos a unirnos con la #FuerzaDeLaEsperanza y dar lo mejor de cada uno para derrotar la corrupción y la confrontación. #ElEquipo https://t.co/iHeq81lr3z;| invit unirn #fuerzadelaesper dar mejor derrot corrupcion confront  #elequipo   |1
.@ClaudiaLopez  Ocho (8) a?os de MISERABLE COMPORTAMIENTO de Claudia L?pez con @AlvaroUribeVel se est?n reflejando en las URNAS. ni Presidente, ni Vicepresidente, ni Senadora, ni NADA, el OSCURANTISMO por ser miserable con El Gran Colombiano. @PartidoVerdeCoL @sergio_fajardo pic.twitter.com/iBUchnk1sG&mdash; Eduardo Cote (@EdoCote) March 21, 2018		| |-1
La subida al P?ramo de Letras, desde Mariquita, es de 80 kms. La m?s larga de Colombia.Vamos en los primeros kms. Muchas veces sub? Patios y Palmas. Cazaremos ahora a los escapados. Lo m?s importante en una subida es saber regular. #LaFuerzaDeLaEsperanza #ElEquipo pic.twitter.com/RGfzonhWjP&mdash; Fajardo Presidente (@sergio_fajardo) March 23, 2018		| |1
Argote.com en Twitter: ;Con la Coalición Colombia  todos los colombianos elegiremos a FAJARDO - PRESIDENTE... y en el 2.019 elegiremos los mejores gobiernos regionales...;| _Coalicion_Colombia  eleg fajard - presidente    eleg mejores gobiern regionales       |1
#FajardoResponde. Seremos el gobierno que m?s va a invertir en educaci?n en toda la historia del pa?s. Cada peso que le quitemos a la corrupci?n ir? para la educaci?n. #ConEducaci?nSePuede @ClaudiaLopez @JERobledo pic.twitter.com/URSMJwXqBU&mdash; Fajardo Presidente (@sergio_fajardo) March 23, 2018		| |1
Compromiso Antioquia en Twitter: ;;Todos los años vamos aumentar el presupuesto de la educación en por lo menos un 10%, trabajando con los gobiernos locales, municipales y departamentales;: @sergio_fajardo #ConEducaciónSePuede;|  tod años aument presupuest educ 10%  trabaj gobiern locales  municipales departamentales   @sergio_fajard #coneducacionsepuede   |1
Armando Romero en Twitter: ;Que vergüenza de políticos y de partidos políticos como el liberal y el verde plata para educación, pobres a, salud, se lo comen Fajardo y de la calle https://t.co/OuL8OegiIq;| verguenz politic part politic liberal verde plat educ  pobres  salud  comen fajard calle   |-1
Mafe Carrascal en Twitter: ;Esto reafirma el poder que tendrían @DeLaCalleHum, @sergio_fajardo @petrogustavo unidos. No olviden que los jóvenes podríamos poner Presidente. #Elpaísprimero https://t.co/uPv1PXczzH;| reafirm tendrían @delacallehum  @sergio_fajard @petrogustav unid  No olviden jovenes podr pon presidente  #elpaisprimero   |1
Virginia, María o Daniela en Twitter: ;Lo que me encanta de #PreguntaYamid es que Fajardo ya esta marcando posición, demostrando emoción, queriendo transformar el país, hacer algo bueno por todos los colombianos. Definitivamente #SePuede @sergio_fajardo @compromisociu @Compromiso_Ant;| encant #preguntayam fajard marc posicion  demostr emocion  quer transform  buen  definitiv #sepuede @sergio_fajard @compromisociu @compromiso_ant   |1
julio cesar feria en Twitter: ;Una nueva pagina ..mm esa pagina ya la e leido muchas veces https://t.co/dDXb7sk9jA;| nuev pagin   mm pagin leid veces   |-1
#FajardoLogr? que Antioquia liderara la lucha contra corrupci?n en el pa?s. Le ha apostado a combatir este flagelo desde siempre. Ya demostr? que #SePuede. https://t.co/91GYJYuHbK pic.twitter.com/AFHnQShA9B&mdash; Erika Zapata (@erijozata) March 25, 2018		| |1
Salud Hernández-Mora en Twitter: ;Gran decepción que Sergio Fajardo estudie unirse a maquinaria liberal. El No todo vale es pasado.Ahora es:Todo vale si vamos a 2da vuelta.;| gran decepcion sergi fajard estudie unirse maquinari liberal  no vale pas ahor vale 2da vuelt     |-1
Claudia López en Twitter: ;¡La imagen que todos estábamos esperando de @sergio_fajardo y @DeLaCalleHum! Ellos representan la Colombia digna, la transparencia y la política decente. Juntos son una fuerza poderosa y todos vamos a poner de nuestra parte para avanzar con #LaFuerzadelaEsperanza https://t.co/YtsIvWKN67;| ¡la estábamos esper @sergio_fajard @delacallehum! ellos represent colombi dign  transparente politic decente  junt fuerz poder pon parte avanz #lafuerzadelaesperanza   |1
El gran ?xito de Fajardo, por primera vez en la historia #FajardoLogr? que Antioquia baje de categor?a afectando el funcionamiento del departamento, No m?s ineptos, necesitamos un presidente capaz #DuquePresidente ???? pic.twitter.com/bEOxoENE9t&mdash; Amir Sajim (@Amirsajim19) March 25, 2018		| |-1
Fajardo Presidente en Twitter: ;Tenemos otra oportunidad de cambiar el rumbo del país. Hay que aprovecharla. Hoy es el último día para inscribir su cédula. Consulten muy bien dónde pueden hacerlo en https://t.co/hO3B2Y7omY. #ElEquipo. https://t.co/8WWhdv3NVq;| tenem oportun cambi rumb  hay aprovecharl  hoy ultim dia inscrib cedul  consulten donde hacerl  #elequip    |1
Catalina Ortiz ??101 en Twitter: ;Por eso es q #SePuede!! Jóvenes maravillosos con toda la entrega! Somos #LaFuerzaDeLaEsperanza  y les vamos a volver a demostrar que SePuede! Gracias @OrtegaSterling y todos todos! #FajardoPresidente https://t.co/u4V8btTRuk;| #sepuede!! jovenes maravill entrega! som #lafuerzadelaesper  volv demostr sepuede! graci @ortegasterling todos! #fajardopresidente   |1
Nicolás Suárez en Twitter: ;#LaFuerzaDeLaEsperanza planeando lo que se viene en la campaña! Vamos a recorrer, convencer y transformar todo el Valle del Cauca! #SePuede https://t.co/jxH0FsnM96;| #lafuerzadelaesper plane campaña! vam recorr  convenc transform valle cauca! #sepuede   |1
Erika Zapata en Twitter: ;#FajardoLogró iluminar la vida de más de 400 mil antioqueños, llevando energía eléctrica por primera vez a sus comunidades. #SePuede https://t.co/UbvnJpLWfw;| #fajardologr ilumin vid 400 mil antioqueñ  llev energ electric primer comun  #sepuede   |1
ÁlvaroGonzález-Uribe en Twitter: ;¡Claro que hay esperanza! #LaFuerzaDeLaEsperanza con @sergio_fajardo ;| ¡clar esperanza! #lafuerzadelaesper @sergio_fajardo    |1
Juan Jose Largo F en Twitter: ;#FajardoLogró que llegará a Medellin el urbanismo social abriendo espacios para la educación y la cultura: Parque Juanes de la Paz, Parque Explora, Unidades deportivas, reapertura JardínBotánico, algunas de sus obras.@sergio_fajardo @compromisociu https://t.co/WgW7kpVXW6;| #fajardologr lleg medellin urban social abriend espaci educ cultur  parque juanes paz  parque explor  unidades deport  reapertur jardinbotan  obras @sergio_fajard @compromisociu   |1
En Medell?n y Antioquia demostramos que la educaci?n transforma la sociedad. Ahora vamos a hacerlo en Colombia. Ma?ana les contaremos c?mo lo haremos realidad. No se lo pierdan. #ConEducaci?nSePuede.#ElEquipo pic.twitter.com/aaFEsrMSfD&mdash; Fajardo Presidente (@sergio_fajardo) March 22, 2018		| |1
Eduardo Cote en Twitter: ;.@ClaudiaLopez  Ocho (8) años de MISERABLE COMPORTAMIENTO de Claudia López con @AlvaroUribeVel se están reflejando en las URNAS. ni Presidente, ni Vicepresidente, ni Senadora, ni NADA, el OSCURANTISMO por ser miserable con El Gran Colombiano. @PartidoVerdeCoL @sergio_fajardo https://t.co/lGh9FAYO7i;|  @claudialopez  miser comport claudi lopez @alvarouribevel reflej urnas  presidente  vicepresidente  senador  nad  oscurant miser gran colombian  @partidoverdecol @sergio_fajardo       |-1
Hoy pasamos Al Tablero en @NoticiasCaracol. Sabemos que mantener la seguridad ciudadana es dif?cil y exigente. Por eso es necesaria la experiencia, haber gobernado. #FajardoPropone. #YLaSeguridadQu? #ElEquipo pic.twitter.com/jhYLIh02mK&mdash; Fajardo Presidente (@sergio_fajardo) March 27, 2018		| |0
Tatiana Vásquez en Twitter: ;Y como Alcalde #FajardoLogró entregarnos el museo que nos llena de orgullo en Antioquia y que es ejemplo de ciencia, innovación y educación https://t.co/LFa8eeYWvP @ParqueExplora;| alcalde #fajardologr entregarn muse llen orgull antioqui ejempl cienci  innov educ @parqueexplor   |1
?Usted ya conoce los programas de los candidatos? 1. Gustavo Petro https://t.co/GyTzfROCRG?2. Humberto de la Calle https://t.co/pStwrGqBm3 3. Ivan Duque https://t.co/nYLqkR8dZD 4. Sergio Fajardo  https://t.co/7xAZyerOHy?5. Germ?n Vargas Lleras https://t.co/nnHxoXBXiS&mdash; Katherine Ariza (@ktikariza) March 26, 2018		| |0
CARLOS COLMENARES en Twitter: ;Retweeted Fajardo Presidente (@sfajardo_2018):;;;Conciencia ambiental. Muchos piensan que esto retrasa el desarrollo, pero el medio ambiente es el desarrollo; @sergio_fajardo en #PreguntaYamid;| retweet fajard presidente (@sfajardo_2018)    concienci ambiental  much piens retras desarroll  ambiente desarroll  @sergio_fajard #preguntayam    |0
Fajardo Presidente en Twitter: ;Mañana, en la @UniversidadEAN, presentaremos nuestra propuesta para que la educación sea el motor de la transformación del país. Invitados a inscribirse en el siguiente link y acompañarnos. #ConEducaciónSePuede #ElEquipo;https://t.co/ckMOlsLQbd;| mañan  @universidade  present propuest educ motor transform  invit inscribirse siguiente acompañarn  #coneducacionsepuede #elequip   |1
Gina Montealegre en Twitter: ;Hasta el Voto en Blanco tiene más posibilidades de ser presidente que @sergio_fajardo;| vot blanc posibil presidente @sergio_fajard   |-1
Jaime del Todo en Twitter: ;Más o menos lo mismo que Colombia si Fajardo es presidente. Colombia exige un presidente inteligente. Ya no más Uribes ni titeres de Uribe, ya no más Vargas Lleras, etc. #PetroPresidente https://t.co/kQiXeDwiTc;| mas colombi fajard presidente  colombi exige presidente inteligente  no uribes titeres uribe  no varg ller   #petropresidente   |-1
Fajardo Presidente en Twitter: ;Hay una fuerza que puede movilizar al país hacia la transformación, es ahora, es ya que podemos hacerlo. Es #LaFuerzaDeLaEsperanza. Tenemos otra oportunidad para cambiar el rumbo y para escribir una nueva página. #ElEquipo. https://t.co/ZYUHIgVYRJ;| hay fuerz moviliz transform  ahor  hacerl  #lafuerzadelaesper  tenem oportun cambi rumb escrib nuev pagin  #elequip    |1
Fajardo Presidente en Twitter: ;La subida al Páramo de Letras, desde Mariquita, es de 80 kms. La más larga de Colombia.Vamos en los primeros kms. Muchas veces subí Patios y Palmas. Cazaremos ahora a los escapados. Lo más importante en una subida es saber regular. #LaFuerzaDeLaEsperanza #ElEquipo https://t.co/rB5qptpnqe;| sub param letr  mariquit  80 kms  larg colombi vam primer kms  much veces sub pati palm  caz ahor escap  import sub regul  #lafuerzadelaesper #elequipo   |1
Juan Jose Largo F en Twitter: ;Durante su administración en Medellin, #FajardoLogró pasar a la ciudad del Miedo a la esperanza. Generando apropiación del espacio público y formalizando el Sistema Integrado de Transporte con los estudios de factibilidad y planeación del Metroplús y el Tranvía de Ayacucho. https://t.co/NBPYWFtDIG;| durante administr medellin  #fajardologr pas ciud mied esper  gener apropi espaci public formaliz sistem integr transporte estudi factibil planeacion metroplus tranv ayacuch    |1
FCB en Twitter: ;La hipocresía de Sergio Ramos: defiende a Koke por un entradón que le han hecho y luego lo pilla en los derbis y lo funde a patadas.;| hipocres sergi ram  defiende koke entradon pill derbis funde pat    |-1
Ima Luz Fernandez Di en Twitter: ;Analicemos: Planes de gobierno, autenticidad, liderazgo, decencia, coherencia, experiencia pública, privada, hechos de paz, cultura, educación incluyente,  sensibilidad social, lucha en contra corrupción, de cada candidato. Mi decisión Fajardo Presidente! https://t.co/jsodumxIoc;| analicem  planes  autentic  liderazg  decenci  coherente  experiente public  priv  hech paz  cultur  educ incluyente   sensibil social  luch corrupcion  candidat  decision fajard presidente!    |1
Como profesor, reconozco el poder transformador de la educaci?n. En Medell?n y Antioquia, llegamos a todos los rincones abriendo la puerta de las oportunidades. Comprobamos que #ConEducaci?nSePuede transformar la sociedad. Lo vamos a lograr en Colombia https://t.co/WaDSVac1oJ&mdash; Fajardo Presidente (@sergio_fajardo) March 21, 2018		| |1
Entonces vote por Fajardo o por de la Call? pero no se enga?e pensando que Duque es honesto o alguien capaz por que ni lo uno ni lo otro.Y por lo menos Fajardo o de la Call? no piensan cambiar el agua por petr?leo. pic.twitter.com/gGuK64mRPM&mdash; Cerox (@sirCerox) March 29, 2018		| |1
alejandro el grande en Twitter: ;un pobre baboso con dos seguidores su papa y su.mama mas bien a dirmir culicagao https://t.co/MrNL9MwyIx;| pobre babos seguidores pap mam dirm culicagao   |-1
Gran decepci?n que Sergio Fajardo estudie unirse a maquinaria liberal. El ?No todo vale? es pasado.Ahora es:Todo vale si vamos a 2da vuelta.&mdash; Salud Hern?ndez-Mora (@saludhernandezm) March 27, 2018		| |-1
Daniel Duque V. en Twitter: ;A los colombianos nos tiene que unir un proyecto de país. Cuando @sergio_fajardo sea presidente, ese proyecto será la educación. #LaFuerzaDeLaEsperanza https://t.co/DvBQVgYznX;| unir proyect  @sergio_fajard presidente  proyect educ  #lafuerzadelaesper   |1
;Esta alianza suma cero, no aporta votos ni Fajardo, ni De La Calle, pero el vice ser?a De La Calle dado que s?lo marca un 2%;: @jaimearango9 pic.twitter.com/0E6HspGn9F&mdash; VocesRCN (@VocesRCN) March 27, 2018		| |0
Iván Velásquez en Twitter: ;La #FuerzaDeLaEsperanza deben ser usted, Petro y De La Calle. Dejen los egos y diferencias a un lado. Salven la patria, aún es posible. https://t.co/WBns37EVYT;| #fuerzadelaesper deben  petr calle  dejen egos diferente  salven patri  posible    |-1
https://t.co/iqAmYbGJFM NO PARAR? DE DECIRLO #SEPUEDE ?????????! Aqu? no idolatramos, no somos borregos de NADIE, aqu? se trabaja en EQUIPO, aqu? nosotros somos #LaFuerzaDeLaEsperanza ... Con #FajardoPresidente y con #ClaudiaVice #SePuede ??????... pic.twitter.com/0jLI1FdBtU&mdash; ALEXANDER ROJAS A (@AlexandeRojasA) March 24, 2018		| |1
No solo un hombre preparado, es el hombre necesario para  el momento de Colombia.....Vamos con toda!&mdash; El Burro (@uefotomax) March 29, 2018		| |1
#FajardoLogr? construir la ciudadela universitaria de la Universidad de Antioquia, en Apartad?, que beneficia a miles de estudiantes en el Urab? antioque?o. pic.twitter.com/MGyChaxvuj&mdash; Compromiso Antioquia (@Compromiso_Ant) March 25, 2018		| |1
Fajardo Presidente en Twitter: ;;Medellín la más educada era un reto para nosotros, nuestra apuesta política fue apostarle a la educación y al talento. Me siento muy orgulloso de ver lo que logramos. Una muestra de como se llega al poder para transformar; #ConEducaciónSePuede #ElEquipo https://t.co/IjzT7oJ57B;|  medellin educ ret  apuest politic apostarle educ talent  Me sient orgull logr  muestr lleg transform  #coneducacionsepuede #elequipo   |1
programas de gobierno de los candidatos..1. Gustavo Petro https://t.co/qcy8BAzHka?2. Humberto de la Calle https://t.co/7WiyreIY06 3. Ivan Duque https://t.co/MG3HIzjFNN 4. Sergio Fajardo  https://t.co/XCgPCyQYm8?5. Germ?n Vargas Lleras https://t.co/aN7yn4SkYw&mdash; Humbert A. Garrido (@hagarridoa) March 26, 2018		| |0
Politica decente? El liberalismo que representa humberto de la calle.... pic.twitter.com/T8KB3pZeL9&mdash; germanchova (@germanchovaOut1) March 28, 2018		| |-1
#FajardoLogr? POR #VenezuelaNo pas? una bomba ni un TERREMOTOS?lo gobierna LA IZQUIERDA???? 1958:?Cuba no es la URSS, estamos a 90 millas de EEUU???? 1998:?Venezuela no es Cuba. No somos una isla y tenemos petr?leo ???? 2018:?Colombia no es Venezuela ni #Cuba#26Mar #27Mar pic.twitter.com/XeKK4xQKgt&mdash; Mauricio Torres Aren (@TorresAren) March 26, 2018		| |1
Coalicion Colombia en Twitter: ;#FajardoLogró como Gobernador de Antioquia que el Banco de las Oportunidades otorgara más de 9500 microcréditos en 114 municipios por un valor de 40 mil millones de pesos. Igualmente, se entregaron más de 3.000 microcréditos en zonas rurales. https://t.co/Jg5yWOsphv;| #fajardologr gobern antioqui banc oportun otorg microcredit municipi mil millones  igual  entreg microcredit zon rurales         |1
jime en Twitter: ;yo amo y apoyo A TODOS por igual pero es que hasta ahora el que más me cautiva porque es el estilo de música que siempre me ha encantado es el de niall y estoy muy enojada que enserio no sepan apreciar flicker como merece ser;| amo apoy tod igual ahor cautiv estil music encant niall enoj enseri no sep apreci flick merece   |0
#FajardoLogr? como alcalde de Medell?n combinar inclusi?n social y urbanismo con la construcci?n del Parque Explora, el Jard?n Bot?nico, la Casa de la Lectura Infantil y los Parques Biblioteca, aulas ciudadanas para la ciencia y la cultura, que fortalecieron lo p?blico. pic.twitter.com/TBx0t8pmcf&mdash; David Fajardo (@DavidFajardoGra) March 25, 2018		| |1
ÁlvaroGonzález-Uribe en Twitter: ;#FajardoLogró que durante sus administraciones en Medellín y Antioquia ni una sola obra o intervención pública se hicieran sin consultar, escuchar y tener en cuenta la opinión e inquietudes de las comunidades afectadas o beneficiadas.;| #fajardologr durante administr medellin antioqui sol obra intervencion public hic consult  escuch cuent opinion inquietudes comun afect benefici    |1
El ICETEX al igual que el ICFES deben cambiar su enfoque y su visi?n pensando m?s en quienes no tienen posibilidad y acceso a la Educaci?n con @sergio_fajardo #SePuede somos  #LaFuerzaDeLaEsperanza https://t.co/FEKK6751Uy&mdash; FRANCIA JIM?NEZ  (@FRANCIAJIMNEZ) March 24, 2018		| |1
ÁlvaroGonzález-Uribe en Twitter: ;No he podido entender por qué a los extremos que puntean las dos últimas encuestas no les gusta (y a veces con ira santa) la posible unión de @sergio_fajardo y de @DeLaCalleHum ¿No están tan sobrados pues?;| No pod entend extrem punte ultim encuest no gust (y veces ira santa) posible union @sergio_fajard @delacallehum ¿no sobr pues?   |-1
Se pueden juntar toditos que de todos no se hace uno... el unico es @IvanDuque presidente... Ana Maria, por favor mira mas alla de la nariz... el pais necesita de un cambio y no la continuidad q tenemos...&mdash; Albert Enrique (@Enrique9411) March 21, 2018		| |-1
Inepto Fajardo??  Vieja rid?cula, inepta usted, a ver si tiene trayectoria pol?tica encima como Fajardo.&mdash; J Daniel (@J_DanielRD) March 29, 2018		| |1
De la Calle y Fajardo deber?an ir a consulta pero con el siquiatra para que les den medicina para el descaro!&mdash; Abuelo Emberracado (@criticolombia) March 27, 2018		| |-1
Camilo Calle en Twitter: ;#FajardoLogró siendo gobernador, trabajar con todos los alcaldes sin importar su filiación política, así logró ejecutar el mejor proceso de distribución de regalías del pais, desarrollando la infraestructura de más de 90 municipios antioqueños. @sergio_fajardo  #FajardoPresidente;| #fajardologr gobern  alcaldes import filiacion politic  logr ejecut mejor proces distribu regal pais  desarroll infraestructur municipi antioqueñ  @sergio_fajard  #fajardopresidente    |1
Y qu? tiene que ver el FA? ??&mdash; MA Comunal ?u?oa (@AutonomistasNN) March 22, 2018		| |0
Compromiso Antioquia en Twitter: ;#FajardoResponde en @NoticiasCaracol: ;-Anticorrupción;-Educación;-Incremento de Empleo;-Seguridad;-Desarrollo Rural;-Acuerdos de Paz;#LaFuerzaDeLaEsperanza #SePuede @sergio_fajardo @ClaudiaLopez;| #fajardoresponde @noticiascaracol   -anticorrupcion -educ -increment emple -segur -desarroll rural -acuerd paz #lafuerzadelaesper #sepuede @sergio_fajard @claudialopez   |0
#FajardoLogr? que las mujeres fueran reconocidas por su conocimiento y habilidades por encima de su apariencia f?sica, mediante la creaci?n del concurso Mujeres J?venes Talento ??&mdash; Angela H Whitecastle (@castiblancoange) March 25, 2018		| |1
